ID|SKU|Canonical Product Name|Legacy Name|Brand|Category|Size|Verification Source|Verification Status|Regulatory Status|Publish Status|Media Status|Notes
56|TBD|TBD|Kem trắng da mặt ngọc trai 15g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
57|TBD|TBD|Sữa rửa mặt ngừa mụn 50ml Cream X2|Cream X2|Sữa rửa mặt|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
58|TBD|TBD|Bột tắm trắng Ngọc Trai và sữa Dê 125g – Cream X2|Cream X2|Tắm trắng|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
59|TBD|TBD|Kem dưỡng trắng da toàn thân 80g Cream X2|Cream X2|Chăm sóc body|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
60|TBD|TBD|Kem dưỡng trắng da, ngừa tàn nhang – đồi mồi 15g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
61|TBD|TBD|Kem dưỡng trắng giúp phục hồi da 8 tác dụng 20g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
62|TBD|TBD|Kem dưỡng trắng giúp tái tạo da Cream X2 8g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
63|TBD|TBD|Kem dưỡng trắng ngừa lão hóa da 10 tác dụng 30g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
64|TBD|TBD|Kem kỳ tế bào chết 60ml Cream X2|Cream X2|Tẩy tế bào chết|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
65|TBD|TBD|Kem mụn, nám, trắng da giúp tái tạo 4 in 1 10g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
66|TBD|TBD|Kem nám, tàn nhang, đồi mồi 8g Cream X2|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
67|TBD|TBD|Kem ngừa mụn 3 tác dụng Cream X2 6g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
68|TBD|TBD|Kem ngừa nám Cream X2 10g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
69|TBD|TBD|Kem dưỡng trắng da 3 trong 1 5g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
70|TBD|TBD|Kem trắng da mặt 12g Cream X2|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
71|TBD|TBD|Kem trắng da mặt 6 tác dụng 20g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
72|TBD|TBD|Kem trắng da mặt đa chức năng đẳng cấp 20g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
73|TBD|TBD|Kem trắng da, se khít lỗ chân lông 8g|Cream X2|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
74|TBD|TBD|Kem trắng da, chống nắng SPF 50 8g Cream X2|Cream X2|Chống nắng|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
75|TBD|Kem Dưỡng Trắng Da Toàn Thân B5 - 100g|Kem Dưỡng Trắng Da Toàn Thân - 100g|Hatagold|Chăm sóc body|100g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
76|TBD|Kem Dưỡng Trắng Giúp Mờ Các Dấu Hiệu Lão Hóa Da B5 - 10g|Kem Dưỡng Trắng Giúp Mờ Các Dấu Hiệu Lão Hóa Da - 10g|Hatagold|Kem dưỡng/chăm sóc da|10g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|CANDIDATE_MAPPING_REVIEW|DUP-CAND-01 with legacy ID 85; no auto-merge
77|TBD|Kem Dưỡng Trắng Da Chống Nắng SPF50+ B5 - 10g|Kem Dưỡng Trắng Da Chống Nắng SPF50+ - 10g|Hatagold|Chống nắng|10g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|CANDIDATE_MAPPING_REVIEW|DUP-CAND-02 with legacy ID 86; no auto-merge
78|TBD|Kem Trắng Da Mặt Đa Chức Năng B5 - 10g|Kem Dưỡng Trắng Da Đa Chức Năng - 10g|Hatagold|Kem dưỡng/chăm sóc da|10g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
79|TBD|Kem Dưỡng Trắng Giúp Mờ Tàn Nhang - Đồi Mồi B5 - 10g|Kem Dưỡng Trắng Giúp Mờ Nám - Tàn Nhang - Đồi Mồi - 10g|Hatagold|Kem dưỡng/chăm sóc da|10g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|CANDIDATE_MAPPING_REVIEW|DUP-CAND-03 with legacy IDs 80,90; no auto-merge
80|TBD|TBD|Kem Giúp Nám Tàn Nhang - Đồi Mồi|Hatagold|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|DUP-CAND-03 with verified ID 79 / legacy ID 90; no auto-merge
81|TBD|TBD|Dung Dịch Vệ Sinh Phụ Nữ|Hatagold|Dung dịch vệ sinh|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
82|TBD|TBD|Nước Tẩy Trang|Hatagold|Tẩy tế bào chết|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy category says Tẩy tế bào chết; category verification required
83|TBD|Serum Giúp Mờ Nám Ngừa Mụn Trắng Da B5 - 20g|Serum Nám Trắng Da|Hatagold|Serum|20g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|CANDIDATE_MAPPING_REVIEW|
84|TBD|TBD|Kem Tắm Trắng Cao Cấp|Hatagold|Tắm trắng|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
85|TBD|TBD|KEM DƯỠNG TRẮNG GIÚP MỜ CÁC DẤU HIỆU LÃO HÓA DA|Hatagold|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|DUP-CAND-01 with verified ID 76; no auto-merge
86|TBD|TBD|Kem Dưỡng Trắng Da Chống Nắng|Hatagold|Chống nắng|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|DUP-CAND-02 with verified ID 77; no auto-merge
87|TBD|TBD|TẨY TẾ BÀO DA CHẾT|Hatagold|Tẩy tế bào chết|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
88|TBD|TBD|Sữa Rửa Mặt|Hatagold|Sữa rửa mặt|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
89|TBD|Kem Chống Nắng Dưỡng Trắng Da SPF50+ B5 - 50g|Kem Chống Nắng Dưỡng Trắng Da|Hatagold|Chống nắng|50g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|CANDIDATE_MAPPING_REVIEW|
90|TBD|TBD|Kem Giúp Mờ Nám Tàn Nhang - Đồi Mồi|Hatagold|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|DUP-CAND-03 with verified ID 79 / legacy ID 80; no auto-merge
91|TBD|TBD|KEM TRẮNG DA NGỪA MỤN, GIÚP MỜ THÂM|Hatagold|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
92|TBD|Kem Dưỡng Trắng Da Toàn Thân - 120g|Kem Dưỡng Trắng Da Toàn Thân Body|Hatagold|Chăm sóc body|120g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
93|TBD|Premium Whitening Body Cream - 140g|Kem body She One|She One|Chăm sóc body|140g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
94|TBD|Kem Giúp Mờ Nám Mụn Trắng Da - 10g||One Today|Kem dưỡng/chăm sóc da|10g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
